Convention on Biological Diversity (CBD),Cites Convention on International Trade in Endangered Species of Wild Fauna and Flora,Convention on the Conservation of Migratory Species of Wild Animals,World Heritage Convention,Vienna Convention (Ozone),Ramsar Convention,UN Convention on the Law of the Sea (UNCLOS),UN Framework Convention on Climate Change (UNFCCC),MontrealProtocol
,,,1,,,,,
,6.0,,10,,,,,
,21.0,,20,,7.0,,,
,32.0,,26,,13.0,,,
,41.0,,34,,17.0,,,
,49.0,,42,,20.0,,,
,57.0,,48,,21.0,,,
,63.0,,55,,24.0,,,
,73.0,,60,,28.0,,,
,77.0,,69,,30.0,1.0,,
,82.0,15.0,77,,32.0,9.0,,
,85.0,16.0,82,,34.0,14.0,,
,89.0,19.0,87,,36.0,25.0,,
,93.0,21.0,90,,39.0,31.0,,
,94.0,25.0,98,,43.0,34.0,,
,96.0,27.0,105,29.0,48.0,36.0,,58.0
,104.0,29.0,108,52.0,50.0,41.0,,75.0
,109.0,35.0,113,65.0,58.0,44.0,,78.0
,112.0,38.0,121,74.0,67.0,50.0,,83.0
6.0,117.0,39.0,130,98.0,75.0,52.0,9.0,122.0
43.0,120.0,42.0,136,130.0,84.0,59.0,50.0,162.0
107.0,128.0,44.0,139,145.0,87.0,69.0,115.0,160.0
136.0,130.0,47.0,145,150.0,93.0,82.0,150.0,155.0
164.0,134.0,49.0,146,160.0,96.0,109.0,164.0,170.0
171.0,143.0,52.0,151,162.0,105.0,122.0,169.0,164.0
173.0,145.0,55.0,155,167.0,114.0,128.0,175.0,172.0
175.0,147.0,65.0,157,171.0,118.0,130.0,179.0,175.0
179.0,152.0,70.0,161,174.0,123.0,133.0,184.0,177.0
181.0,156.0,78.0,167,182.0,129.0,136.0,185.0,190.0
186.0,160.0,80.0,175,183.0,133.0,140.0,187.0,184.0
186.0,164.0,84.0,177,185.0,138.0,144.0,187.0,187.0
187.0,166.0,88.0,178,187.0,141.0,146.0,188.0,189.0
187.0,169.0,95.0,181,188.0,147.0,148.0,188.0,189.0
188.0,169.0,100.0,184,190.0,154.0,151.0,188.0,192.0
189.0,172.0,104.0,185,190.0,156.0,154.0,191.0,190.0
190.0,174.0,110.0,185,192.0,158.0,156.0,191.0,194.0
192.0,175.0,112.0,186,195.0,159.0,159.0,193.0,198.0
193.0,175.0,114.0,187,196.0,160.0,161.0,194.0,195.0
193.0,175.0,116.0,189,196.0,160.0,162.0,195.0,195.0
193.0,177.0,117.0,190,197.0,163.0,164.0,195.0,197.0
193.0,179.0,119.0,190,197.0,168.0,166.0,195.0,197.0
194.0,180.0,120.0,191,197.0,168.0,166.0,196.0,197.0
196.0,181.0,122.0,190,197.0,169.0,167.0,197.0,197.0
